Source File: D:\Storage\Programs\OOI\Group 5\Correspondence\07_18_14 sample files\files\11079364.WC
Processed: 07/18/2014 17:47:39
Using Version: 1.11
Device: SBE
Start Date: 04/17/2014
Timestamp (s)	Suspect Timestamp	Pressure (dbar)	Velocity (m/s)
1397773562.986	n	6.593	0.062
1397773563.055	n	6.598	0.064
1397773563.111	n	6.599	0.058
1397773563.223	y	6.592	0.036
1397773563.236	n	6.596	0.040
1397773563.299	n	6.599	0.040
1397773563.369	n	6.601	0.038
1397773563.424	n	6.599	0.030
1397773563.493	n	6.599	0.026
1397773563.548	n	6.602	0.028
1397773563.618	n	6.600	0.020
1397773563.674	n	6.606	0.030
1397773563.736	n	6.605	0.024
1397773563.799	n	6.599	0.008
1397773563.862	n	6.598	0.004
1397773563.928	n	6.599	0.006
1397773563.989	n	6.598	0.004
1397773564.049	n	6.602	0.012
1397773564.111	n	6.599	0.004
1397773564.174	n	6.602	0.010
1397773564.240	n	6.599	0.002
1397773564.298	n	6.600	0.004
1397773564.362	n	6.601	0.006
1397773564.431	n	6.603	0.010
1397773564.486	n	6.601	0.004
1397773564.556	n	6.604	0.010
1397773564.611	n	6.608	0.016
1397773564.680	n	6.608	0.014
1397773564.736	n	6.608	0.012
1397773564.805	n	6.609	0.012
1397773564.861	n	6.612	0.016
1397773564.936	n	6.616	0.022
1397773564.986	n	6.621	0.030
1397773565.053	n	6.621	0.026
1397773565.111	n	6.626	0.032
1397773565.178	n	6.629	0.034
1397773565.236	n	6.635	0.042
1397773565.302	n	6.641	0.048
1397773565.361	n	6.642	0.044
1397773565.423	n	6.647	0.048
1397773565.493	n	6.651	0.050
1397773565.549	n	6.660	0.062
1397773565.618	n	6.667	0.068
1397773565.674	n	6.674	0.074
1397773565.736	n	6.677	0.070
1397773565.799	n	6.685	0.078
1397773565.866	n	6.695	0.088
1397773565.928	n	6.704	0.094
1397773565.990	n	6.715	0.104
1397773566.049	n	6.723	0.106
1397773566.111	n	6.733	0.112
1397773566.175	n	6.744	0.120
1397773566.236	n	6.756	0.128
1397773566.306	n	6.768	0.136
1397773566.361	n	6.782	0.146
1397773566.430	n	6.793	0.150
1397773566.486	n	6.808	0.162
1397773566.553	n	6.823	0.172
1397773566.611	n	6.836	0.176
1397773566.677	n	6.849	0.180
1397773566.736	n	6.863	0.186
1397773566.802	n	6.877	0.190
1397773566.862	n	6.895	0.202
1397773566.936	n	6.911	0.207
1397773566.986	n	6.926	0.212
1397773567.053	n	6.943	0.220
1397773567.112	n	6.958	0.222
1397773567.177	n	6.976	0.230
1397773567.236	n	6.993	0.236
1397773567.300	n	7.010	0.240
1397773567.373	n	7.024	0.237
1397773567.424	n	7.044	0.248
1397773567.493	n	7.061	0.249
1397773567.549	n	7.080	0.256
1397773567.612	n	7.099	0.262
1397773567.675	n	7.116	0.264
1397773567.743	n	7.132	0.261
1397773567.800	n	7.149	0.264
1397773567.868	n	7.169	0.269
1397773567.928	n	7.190	0.278
1397773567.987	n	7.212	0.288
1397773568.049	n	7.229	0.286
1397773568.115	n	7.252	0.296
1397773568.174	n	7.270	0.294
1397773568.240	n	7.291	0.300
1397773568.301	y	7.308	0.296
1397773568.362	n	7.330	0.302
1397773568.424	n	7.353	0.310
1397773568.489	n	7.372	0.309
1397773568.550	n	7.393	0.314
1397773568.614	n	7.415	0.318
1397773568.683	n	7.434	0.314
1397773568.736	n	7.456	0.320
1397773568.804	n	7.475	0.317
1397773568.861	n	7.496	0.320
1397773568.935	n	7.519	0.324
1397773568.986	n	7.538	0.324
1397773569.052	n	7.559	0.325
1397773569.111	n	7.573	0.314
1397773569.177	n	7.598	0.324
1397773569.236	n	7.618	0.324
1397773569.304	n	7.635	0.317
1397773569.361	n	7.656	0.320
1397773569.429	n	7.675	0.317
1397773569.486	n	7.698	0.324
1397773569.552	n	7.717	0.322
1397773569.612	n	7.734	0.316
1397773569.676	n	7.754	0.316
1397773569.746	n	7.774	0.315
1397773569.799	n	7.792	0.312
1397773569.868	n	7.811	0.309
1397773569.931	n	7.834	0.317
1397773569.994	n	7.851	0.311
1397773570.049	n	7.872	0.314
1397773570.113	n	7.890	0.310
1397773570.175	n	7.909	0.310
1397773570.244	n	7.929	0.311
1397773570.299	n	7.954	0.322
1397773570.369	n	7.970	0.313
1397773570.425	n	7.988	0.310
1397773570.495	n	8.008	0.311
1397773570.550	n	8.029	0.314
1397773570.618	n	8.047	0.309
1397773570.674	n	8.068	0.314
1397773570.741	n	8.088	0.314
1397773570.799	n	8.108	0.314
1397773570.868	n	8.129	0.315
1397773570.931	n	8.148	0.313
1397773570.994	n	8.169	0.315
1397773571.049	n	8.188	0.314
1397773571.117	n	8.205	0.307
1397773571.174	n	8.223	0.306
1397773571.237	n	8.247	0.316
1397773571.299	n	8.265	0.312
